Province_Number,Political_Subdivision_Segment,Projected_Longitude,Projected_Latitude,Unprojected_Latitude_Radians,Unprojected_Longitude/Radians
45,1,3251.93,3789.05,0.25152,0.70323
45,1,3254.41,3787.87,0.25148,0.70332
45,1,3256.6,3786.39,0.25143,0.70339
45,1,3258.5,3785.94,0.25141,0.70345
45,1,3259.82,3783.72,0.25134,0.7035
45,1,3261.72,3781.65,0.25127,0.70356
45,1,3263.77,3780.16,0.25122,0.70363
45,1,3265.67,3778.24,0.25116,0.70369
45,1,3267.87,3776.76,0.25111,0.70376
45,1,3269.62,3774.83,0.25105,0.70382
45,1,3271.38,3772.91,0.25099,0.70388
45,1,3273.13,3771.13,0.25093,0.70394
45,1,3274.89,3769.2,0.25087,0.704
45,1,3276.79,3767.27,0.2508,0.70406
45,1,3278.54,3765.35,0.25074,0.70412
45,1,3280.3,3763.42,0.25068,0.70417
45,1,3282.06,3761.5,0.25061,0.70423
45,1,3284.25,3760.01,0.25057,0.70431
45,1,3286.01,3758.09,0.2505,0.70436
45,1,3287.91,3756.16,0.25044,0.70443
45,1,3289.67,3754.24,0.25038,0.70448
45,1,3291.42,3752.46,0.25032,0.70454
45,1,3293.62,3750.83,0.25026,0.70462
45,1,3295.37,3748.9,0.2502,0.70467
45,1,3297.13,3746.98,0.25014,0.70473
45,1,3299.32,3745.49,0.25009,0.7048
45,1,3301.08,3743.57,0.25003,0.70486
45,1,3302.98,3741.64,0.24996,0.70493
45,1,3304.74,3739.86,0.24991,0.70498
45,1,3306.93,3738.23,0.24985,0.70506
45,1,3308.98,3736.75,0.2498,0.70512
45,1,3310.88,3734.83,0.24974,0.70519
45,1,3313.08,3733.2,0.24969,0.70526
45,1,3314.83,3731.42,0.24963,0.70532
45,1,3316.59,3729.49,0.24957,0.70538
45,1,3318.35,3727.57,0.2495,0.70544
45,1,3320.54,3725.94,0.24945,0.70551
45,1,3322.3,3724.16,0.24939,0.70557
45,1,3324.06,3722.23,0.24933,0.70562
45,1,3326.25,3720.6,0.24928,0.7057
45,1,3328.45,3719.12,0.24923,0.70577
