household_id,household_id2,rural,pw_w3,saq01,saq03,saq06,saq08,hh_s6aq0a,hh_s6aq01,hh_s6aq02
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,80,Other personal care goods,1,10
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,80,Charcoal,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,80,Firewood,1,25
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,80,Kerosene,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,80,"Cigarettes, tobacco, suret, ga",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,80,Transport,1,4
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,80,House rent,1,310
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Matches,1,1
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Batteries,1,8
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,"Candles, incense",2,
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Laundry soap,1,24
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Hand soap,1,12
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Other personal care goods,2,
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Charcoal,2,
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Firewood,2,
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Kerosene,2,
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,"Cigarettes, tobacco, suret, ga",2,
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,Transport,1,60
1.0101E+12,1.01011E+16,1,2445.650635,1,1,16,87,House rent,1,100
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Matches,1,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Batteries,1,10
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,"Candles, incense",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Laundry soap,1,20
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Hand soap,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Other personal care goods,1,7
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Charcoal,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Firewood,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Kerosene,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,"Cigarettes, tobacco, suret, ga",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,Transport,1,80
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,101,House rent,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Matches,1,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Batteries,1,36
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,"Candles, incense",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Laundry soap,1,17
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Hand soap,1,12
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Other personal care goods,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Charcoal,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Firewood,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Kerosene,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,"Cigarettes, tobacco, suret, ga",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,Transport,1,20
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,116,House rent,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Matches,1,3
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Batteries,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,"Candles, incense",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Laundry soap,1,106
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Hand soap,1,24
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Other personal care goods,1,21
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Charcoal,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Firewood,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Kerosene,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,"Cigarettes, tobacco, suret, ga",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,Transport,1,200
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,131,House rent,1,120
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Matches,1,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Batteries,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,"Candles, incense",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Laundry soap,1,3
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Hand soap,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Other personal care goods,1,1
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Charcoal,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Firewood,2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Kerosene,1,2
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,"Cigarettes, tobacco, suret, ga",2,
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,Transport,1,40
1.0101E+12,1.01011E+16,1,2897.155029,1,1,16,146,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Matches,1,4
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Batteries,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,"Candles, incense",1,10
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Laundry soap,1,65
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Hand soap,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Other personal care goods,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Kerosene,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,"Cigarettes, tobacco, suret, ga",2,
