,household_id,household_id2,rural,saq01,saq02,saq03,saq06,saq08,hh_saq09,hh_saq11,hh_saq12
48,1010500204073,10105088800204073,1,1,1,5,2,73,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
49,1010500204097,10105088800204097,1,1,1,5,2,97,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
50,1010500204121,10105088800204121,1,1,1,5,2,121,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
51,1010500204142,10105088800204142,1,1,1,5,2,142,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
52,1010500204145,10105088800204145,1,1,1,5,2,145,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
53,1010500204169,10105088800204169,1,1,1,5,2,169,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
54,1010500204193,10105088800204193,1,1,1,5,2,193,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
55,1010500204217,10105088800204217,1,1,1,5,2,217,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
56,1010600402002,10106088800402002,1,1,1,6,4,2,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
57,1010600402014,10106088800402014,1,1,1,6,4,14,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
58,1010600402021,10106088800402021,1,1,1,6,4,21,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
59,1010600402039,10106088800402039,1,1,1,6,4,39,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
60,1010600402057,10106088800402057,1,1,1,6,4,57,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
61,1010600402075,10106088800402075,1,1,1,6,4,75,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
62,1010600402094,10106088800402094,1,1,1,6,4,94,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
63,1010600402112,10106088800402112,1,1,1,6,4,112,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
64,1010600402130,10106088800402130,1,1,1,6,4,130,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
65,1010600402148,10106088800402148,1,1,1,6,4,148,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
66,1010600402160,10106088800402160,1,1,1,6,4,160,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
67,1010600402167,10106088800402167,1,1,1,6,4,167,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
68,1010700116012,10107010100116012,3,1,1,7,1,12,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
69,1010700116035,10107010100116035,3,1,1,7,1,35,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
70,1010700116058,10107010100116058,3,1,1,7,1,58,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
71,1010700116081,10107010100116081,3,1,1,7,1,81,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
72,1010700116104,10107010100116104,3,1,1,7,1,104,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
73,1010700116127,10107010100116127,3,1,1,7,1,127,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
74,1010700116150,10107010100116150,3,1,1,7,1,150,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
75,1010700116173,10107010100116173,3,1,1,7,1,173,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
76,1010700116196,10107010100116196,3,1,1,7,1,196,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
77,1010700116219,10107010100116219,3,1,1,7,1,219,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
78,1010700116242,10107010100116242,3,1,1,7,1,242,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
79,1010700116265,10107010100116265,3,1,1,7,1,265,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
80,1010700116288,10107010100116288,3,1,1,7,1,288,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
81,1010700116311,10107010100116311,3,1,1,7,1,311,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
82,1010700116334,10107010100116334,3,1,1,7,1,334,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
83,1020100207002,10201088800207002,1,1,2,1,2,2,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
